"","logKo_a","logKblood_a","logKfat_a","logKmussle_a","logKo_w","logKoc_w","logBCF","logKa_w","logSwL","logKw_cellper","logKw_skinper","logKw_serum"
"48",5.9678761418302,3.015209339772,5.83923758621569,3.81169106428878,4.50777352234869,4.05998489122065,4.9105459813389,-1.06620344189578,-1.28317110887863,-2.27899358131378,-3.44704429579723,1.31736744612303
"49",5.85839457584958,3.24223707687691,5.89416384283325,3.78249982669049,4.60201258241211,4.29406304405234,4.92636183512522,-1.02642803073896,-2.13451131953272,-2.40269847441326,-3.32706491218234,1.25165521434375
"50",5.91869324807139,3.05757968796044,5.57609334263127,3.64397016436501,4.56350455649735,3.71664049834698,5.04740534775647,-1.16123378267312,-1.57329324367195,-2.31903560006915,-3.38667700763777,1.27012831840236
"51",5.94614176927187,2.99374936991072,5.72387647716676,3.64721312956965,4.74309445245218,4.13879361583293,5.08598438545718,-1.6223269831294,-1.60802315988087,-2.31326718403038,-3.49825815799636,1.27110492812035
"52",5.8522349125161,3.16049298402137,5.76395989814546,3.78959033796268,4.12841639717927,3.80983253926235,4.9159998518648,-1.15936432329247,-1.40014329616006,-2.18625251727283,-3.42315893666891,1.32215829635223
"53",5.90106586975292,3.05534657657593,5.77133468537335,3.67759448224573,4.95817583947328,4.01697388189508,4.81397424939625,-1.49508722969558,-1.57818846600804,-2.40127377264225,-3.50873470599486,1.31193546131092
"54",5.95458097389021,3.07596284342149,5.65763245466743,3.68570053233858,4.71668924509941,3.76308571180514,4.88586165239331,-1.58611307055126,-1.98785626759939,-2.35530150938063,-3.57651172253628,1.30875431656771
"55",5.96063444763256,3.09741943759254,5.76120255215174,3.68366496625741,4.37588913199706,3.95661725150899,4.85892470272691,-1.4785751336265,-1.51368288454996,-2.23610543145336,-3.5201420128973,1.30809161258566
"56",5.88050844112973,3.06097758179493,5.72244360493708,3.73086774362802,4.20479247966568,4.08988482353897,4.84193461295348,-0.650365866691457,-1.61565898646584,-2.20550015655231,-3.42415705165796,1.34624548851142
"57",5.91225569378715,3.07668425773507,5.66045658772585,3.65937530016372,5.02844161588701,3.90326595022134,5.11723523942715,-0.957679791555901,-2.08688855155583,-2.21839605418791,-3.58481909282023,1.24641456968812
"58",5.80246982510675,2.96847278581953,5.72535626060353,3.75626072184495,4.49779034549612,3.99480581961005,5.04930042018422,-0.917512956296302,-1.6451190637245,-2.32528054953509,-3.56426819477325,1.30276904397598
"59",5.73873692284863,3.20649858186789,5.71534409080462,3.83005852738121,4.66884559257921,3.95973204934829,5.17058102457847,-1.25980520493013,-1.90894384335917,-2.36912815991348,-3.11150284514235,1.30791633054884
"60",5.79114139870256,3.14093115884278,5.59753561806686,3.61573511054725,4.51378833370793,3.91435619102035,4.84751065366449,-1.16111827082774,-1.42271516511759,-2.42116882957647,-3.34469808369751,1.26310569215931
"61",5.98726218790783,3.1756535109572,5.76848866159378,3.71570233410679,5.01545557213828,3.9493164912633,4.54602043001388,-1.50153129380946,-1.78808194826174,-2.46483716046854,-3.37012832598577,1.28428649487077
"62",5.97818216474958,3.15871153444892,5.719260266931,3.78765339228568,4.81001790710045,3.81363311160493,4.99500085861591,-1.61868060246595,-1.93752299131641,-2.35568208795253,-3.31204392080538,1.30762412482689
"63",5.82980396462905,3.14977019785749,5.69697080620998,3.759111102604,4.56755203272061,4.11316784468911,5.10715789830496,-1.30436001393729,-1.34287884440919,-2.3880788973637,-3.51576258177631,1.33237128647331
"64",5.8395746575557,3.20975007050093,5.65228335658622,3.65398843443497,4.65330576432614,3.55302308612397,4.71766750740297,-1.32870553761964,-1.69986492570687,-2.30898971715012,-3.33495089607342,1.22496278534053
"65",5.86475194960441,3.20693911206192,5.70041872734858,3.75164854110857,4.86668624143795,4.00907553727611,4.93002130059766,-1.33886410752719,-1.77920359192794,-2.36453676339094,-3.43209188249642,1.23044695972133
